HBLOCK,latitude,longitude,pavement_Year,pavement_Road Name,pavement_From Street,pavement_To Street,pavement_length_(m),pavement_FAIR,pavement_GOOD,pavement_NO DATA,pavement_POOR,pavement_VERY GOOD,pavement_VERY POOR,streetlight_count,avg_distance_to_streetlight_meters,curb_ramp_count,avg_distance_to_curb_ramp_meters,under_construction,construction_distance,construction_location,construction_completion,geometry_text,*pavement_length_(m),*avg_distance_to_streetlight_meters,*avg_distance_to_curb_ramp_meters,*construction_distance,*streetlight_count,*curb_ramp_count,k=7 clustering
3200 E 45TH AV,49.229274617812216,-123.03658170079468,,,,,43.842981760507534,0,0,,0,0,0,7,25.111275724191415,1,48.46322065752076,0,22.789989470251722,,,"LINESTRING (497324.29 5452944.313, 497348.96 5452944.297)",-1.0566978441507719e-15,0.09594445161268686,9.455657902029802,0.0,0.030042918454935622,0.3333333333333333,5
5800 RUPERT ST,49.23042440539015,-123.04311348361908,,,,,43.842981760507534,0,0,,0,0,0,7,21.64485030971326,1,29.021913440265863,0,22.789989470251722,,,"LINESTRING (496861.279 5453097.122, 496861.008 5453047.632)",-1.0566978441507719e-15,-0.5726085835458544,0.25097487337922686,0.0,0.030042918454935622,0.3333333333333333,4
3800 MARGUERITE ST,49.2514173117699,-123.14389108427886,,,,,43.842981760507534,0,0,,0,0,0,8,21.08329479603899,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (489551.591 5455470.774, 489529.845 5455418.412, 489505.446 5455359.675)",-1.0566978441507719e-15,-0.6809131330996672,-3.364136263006617e-15,0.0,0.034334763948497854,0.0,4
1600 MARPOLE AV,49.25575606751888,-123.14131458868566,2021.0,GRANVILLE ST,NB STOP BAR AT KING EDWARD AVE,NB STOP BAR AT 16TH AVE,50.0,0,1,False,0,0,0,8,24.33561427166952,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (489780.899 5455911.021, 489777.22 5455909.605, 489772.828 5455907.995, 489768.409 5455906.463, 489763.965 5455905.008, 489759.495 5455903.63, 489755.002 5455902.331, 489750.487 5455901.11, 489745.951 5455899.969, 489741.397 5455898.906, 489736.824 5455897.924, 489732.235 5455897.021, 489727.631 5455896.198, 489723.013 5455895.456, 489718.383 5455894.795, 489713.742 5455894.215, 489709.092 5455893.715, 489704.433 5455893.297, 489699.769 5455892.96, 489695.098 5455892.705, 489690.425 5455892.531, 489685.749 5455892.439, 489681.071 5455892.429, 489676.395 5455892.5, 489652.327 5455893.079)",0.9156532848244208,-0.05365369527750451,-3.364136263006617e-15,0.0,0.034334763948497854,0.0,0
1400 W 15TH AV,49.257966520696655,-123.13718043648362,2021.0,GRANVILLE ST,NB STOP BAR AT 16TH AVE,NB STOP BAR AT 12TH AVE,50.0,0,0,False,0,0,1,19,21.71851977176553,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (490081.879 5456140.711, 489954.518 5456144.075)",0.9156532848244208,-0.558400303671194,-3.364136263006617e-15,0.0,0.0815450643776824,0.0,4
3800 GRANVILLE ST,49.2517119291885,-123.13899929560873,2021.0,GRANVILLE ST,NB STOP BAR AT KING EDWARD AVE,NB STOP BAR AT 16TH AVE,50.0,1,0,False,0,0,0,13,21.594919861400264,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (489885.159 5455470.746, 489883.987 5455423.875)",0.9156532848244208,-0.5822384323887163,-3.364136263006617e-15,0.0,0.055793991416309016,0.0,4
2700 ALDER ST,49.260896081846965,-123.13145369228832,,,,,43.842981760507534,0,0,,0,0,0,11,19.05025272018245,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (490436.161 5456494.001, 490434.77 5456440.664)",-1.0566978441507719e-15,-1.0730163194950766,-3.364136263006617e-15,0.0,0.047210300429184546,0.0,4
700 W 17TH AV,49.256130495656265,-123.12142198435193,,,,,43.842981760507534,0,0,,0,0,0,6,23.554983329234886,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (491211.21 5455934.724, 491117.828 5455937.918)",-1.0566978441507719e-15,-0.20421028412651454,-3.364136263006617e-15,0.0,0.02575107296137339,0.0,4
900 W 23RD AV,49.25081238042647,-123.12713066791112,2021.0,OAK ST,KING EDWARD AVE,DOUGLAS CRES/ 19TH AVE,50.0,1,0,False,0,0,0,9,22.980849232374823,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (490774.014 5455345.025, 490722.232 5455346.551)",0.9156532848244208,-0.3149408053835506,-3.364136263006617e-15,0.0,0.03862660944206009,0.0,4
800 W 22ND AV,49.251663857052186,-123.12426824530176,,,,,43.842981760507534,0,0,,0,0,0,5,19.04439563002905,0,28.491826787418614,0,22.789989470251722,,,"LINESTRING (490981.343 5455439.337, 490931.837 5455440.864)",-1.0566978441507719e-15,-1.074145948704145,-3.364136263006617e-15,0.0,0.02145922746781116,0.0,4
