Year;Road Name;From Street;To Street;length_(m);PCI Rating;Geom;geo_point_2d
2021;41ST AVE;INVERNESS ST;KNIGHT ST;50;VERY GOOD;"{""coordinates"": [[-123.07838380768405, 49.23292951522568], [-123.07769715901718, 49.2329199412865]], ""type"": ""LineString""}";49.23292472825609, -123.0780404833506
2021;1ST AVE;EB STOP BAR AT RUPERT ST;BOUNDARY RD;23;GOOD;"{""coordinates"": [[-123.02815341343262, 49.269657909015706], [-123.02783724858831, 49.26965798561936]], ""type"": ""LineString""}";49.26965794731753, -123.02799533101047
2021;70TH AVE;GRANVILLE ST;OAK ST;50;FAIR;"{""coordinates"": [[-123.13662344615086, 49.20876305848541], [-123.13593711667602, 49.208753989616646]], ""type"": ""LineString""}";49.20875852405103, -123.13628028141345
2021;41ST AVE;EB STOP BAR AT OAK ST;CAMBIE ST;17;POOR;"{""coordinates"": [[-123.12709955449826, 49.234109284373275], [-123.12686637652716, 49.23410101408338]], ""type"": ""LineString""}";49.23410514922833, -123.1269829655127
2021;41ST AVE;ELIZABETH ST;ONTARIO ST;50;GOOD;"{""coordinates"": [[-123.10790069282442, 49.23343544522179], [-123.10721440288089, 49.233417918282065]], ""type"": ""LineString""}";49.23342668175193, -123.10755754785265
2021;1ST AVE;EB STOP BAR AT RUPERT ST;BOUNDARY RD;43;FAIR;"{""coordinates"": [[-123.03392672016916, 49.269645561134155], [-123.03333563909578, 49.26964561714018]], ""type"": ""LineString""}";49.26964558913717, -123.03363117963248
2021;10TH AVE;EB STOP BAR AT DISCOVERY ST;ALMA ST;50;POOR;"{""coordinates"": [[-123.18919841934331, 49.26372600251755], [-123.1885113363726, 49.26371670822446]], ""type"": ""LineString""}";49.26372135537101, -123.18885487785795
2021;1ST AVE;NANAIMO ST;RENFREW ST;34;POOR;"{""coordinates"": [[-123.05579217953081, 49.26970125901884], [-123.05532485751628, 49.269696667698916]], ""type"": ""LineString""}";49.26969896335888, -123.05555851852355
2021;41ST AVE;DUMFRIES ST;EB STOP BAR AT COMMERCIAL ST;50;VERY GOOD;"{""coordinates"": [[-123.07220472591268, 49.23285611595717], [-123.07151802440067, 49.23284835744571]], ""type"": ""LineString""}";49.23285223670144, -123.07186137515669
2021;1ST AVE;CLARK DR;COMMERCIAL DR;50;VERY GOOD;"{""coordinates"": [[-123.07113307877415, 49.26982224783157], [-123.07044579371366, 49.269817872664845]], ""type"": ""LineString""}";49.2698200602482, -123.07078943624391
