HBLOCK,latitude,longitude,pavement_Year,pavement_Road Name,pavement_From Street,pavement_To Street,pavement_length_(m),pavement_FAIR,pavement_GOOD,pavement_NO DATA,pavement_POOR,pavement_VERY GOOD,pavement_VERY POOR,streetlight_count,avg_distance_to_streetlight_meters,curb_ramp_count,avg_distance_to_curb_ramp_meters,under_construction,construction_distance,construction_location,construction_completion,geometry_text
3200 E 45TH AV,49.229274617812216,-123.03658170079468,,,,,,,,,,,,7,25.111275724191415,1,48.46322065752076,False,,,,"LINESTRING (497324.29 5452944.313, 497348.96 5452944.297)"
5800 RUPERT ST,49.23042440539015,-123.04311348361908,,,,,,,,,,,,7,21.64485030971326,1,29.021913440265866,False,,,,"LINESTRING (496861.279 5453097.122, 496861.008 5453047.632)"
3800 MARGUERITE ST,49.2514173117699,-123.14389108427886,,,,,,,,,,,,8,21.08329479603899,0,,False,,,,"LINESTRING (489551.591 5455470.774, 489529.845 5455418.412, 489505.446 5455359.675)"
1600 MARPOLE AV,49.25575606751888,-123.14131458868566,2021.0,GRANVILLE ST,NB STOP BAR AT KING EDWARD AVE,NB STOP BAR AT 16TH AVE,50.0,False,True,False,False,False,False,8,24.33561427166952,0,,False,,,,"LINESTRING (489780.899 5455911.021, 489777.22 5455909.605, 489772.828 5455907.995, 489768.409 5455906.463, 489763.965 5455905.008, 489759.495 5455903.63, 489755.002 5455902.331, 489750.487 5455901.11, 489745.951 5455899.969, 489741.397 5455898.906, 489736.824 5455897.924, 489732.235 5455897.021, 489727.631 5455896.198, 489723.013 5455895.456, 489718.383 5455894.795, 489713.742 5455894.215, 489709.092 5455893.715, 489704.433 5455893.297, 489699.769 5455892.96, 489695.098 5455892.705, 489690.425 5455892.531, 489685.749 5455892.439, 489681.071 5455892.429, 489676.395 5455892.5, 489652.327 5455893.079)"
1400 W 15TH AV,49.257966520696655,-123.13718043648362,2021.0,GRANVILLE ST,NB STOP BAR AT 16TH AVE,NB STOP BAR AT 12TH AVE,50.0,False,False,False,False,False,True,19,21.71851977176553,0,,False,,,,"LINESTRING (490081.879 5456140.711, 489954.518 5456144.075)"
3800 GRANVILLE ST,49.2517119291885,-123.13899929560871,2021.0,GRANVILLE ST,NB STOP BAR AT KING EDWARD AVE,NB STOP BAR AT 16TH AVE,50.0,True,False,False,False,False,False,13,21.594919861400264,0,,False,,,,"LINESTRING (489885.159 5455470.746, 489883.987 5455423.875)"
2700 ALDER ST,49.260896081846965,-123.13145369228832,,,,,,,,,,,,11,19.050252720182446,0,,False,,,,"LINESTRING (490436.161 5456494.001, 490434.77 5456440.664)"
700 W 17TH AV,49.256130495656265,-123.12142198435191,,,,,,,,,,,,6,23.554983329234886,0,,False,,,,"LINESTRING (491211.21 5455934.724, 491117.828 5455937.918)"
900 W 23RD AV,49.25081238042647,-123.12713066791113,2021.0,OAK ST,KING EDWARD AVE,DOUGLAS CRES/ 19TH AVE,50.0,True,False,False,False,False,False,9,22.980849232374826,0,,False,,,,"LINESTRING (490774.014 5455345.025, 490722.232 5455346.551)"
800 W 22ND AV,49.251663857052186,-123.12426824530175,,,,,,,,,,,,5,19.04439563002905,0,,False,,,,"LINESTRING (490981.343 5455439.337, 490931.837 5455440.864)"
3200 E 21ST AV,49.25148482874942,-123.03418612759415,,,,,,,,,,,,10,31.609420613090965,0,,False,,,,"LINESTRING (497484.513 5455413.246, 497539.794 5455413.415)"
3200 E 20TH AV,49.25232168684976,-123.03418242500402,,,,,,,,,,,,12,26.596320669126623,0,,False,,,,"LINESTRING (497484.708 5455506.401, 497540.222 5455506.327)"
